student_id,gender,school_type,study_environment,study_hours_per_week,attendance_percentage,previous_score,sleep_hours,assignments_completed,mock_tests_attempted,participation_score,parental_support_level,internet_access,stress_level,screen_time_hours,commute_time_mins,extracurricular_hours,tuition_support,final_score,performance_level
451,Female,Semi-Private,Quiet,2.39,84.59,64.77,6.75,14.0,7.0,5.22,0.0,1.0,5.3,4.39,19.95,0.0,1.0,77.46,High
1610,Female,Government,Quiet,4.93,89.02,71.59,7.58,20.0,7.0,2.77,0.0,0.0,0.94,1.6,46.64,1.41,0.0,85.17,High
1291,Male,Private,Average,1.96,90.34,29.6,7.88,8.0,1.0,,2.0,1.0,8.82,4.6,11.17,5.7,1.0,66.36,Medium
1079,Male,Private,Average,5.73,78.88,76.74,,11.0,3.0,1.57,1.0,1.0,0.01,5.07,32.18,4.25,0.0,70.63,Medium
255,Male,Government,Quiet,2.3,77.08,72.23,7.8,8.0,9.0,4.01,3.0,1.0,8.52,3.73,61.39,4.12,,63.7,Medium
125,Male,Private,Quiet,1.61,73.78,94.45,7.38,9.0,4.0,3.56,4.0,0.0,8.44,5.08,37.36,5.11,0.0,69.93,Medium
1928,Female,Government,Noisy,9.95,91.37,73.02,9.71,15.0,6.0,8.95,4.0,1.0,3.92,2.69,22.92,1.69,0.0,100.0,High
252,Male,Semi-Private,Average,0.7,51.53,100.0,6.76,19.0,4.0,3.27,2.0,0.0,5.38,,1.79,4.76,0.0,87.71,High
586,Female,Government,Average,3.11,100.0,76.74,6.64,16.0,7.0,9.72,0.0,0.0,5.42,4.91,14.38,2.93,0.0,91.08,High
1569,Male,Private,Average,6.49,85.47,62.07,6.48,14.0,,7.38,2.0,0.0,6.29,3.39,25.9,2.38,1.0,79.59,High
825,Female,Semi-Private,Average,6.81,79.18,61.71,9.13,12.0,2.0,3.51,5.0,0.0,0.93,2.65,30.82,5.17,0.0,84.3,High
508,Male,Government,Noisy,1.4,85.61,50.88,9.23,19.0,6.0,0.28,3.0,1.0,1.44,1.94,45.06,4.63,0.0,79.31,High
890,Female,Private,Noisy,8.94,93.67,48.44,5.8,17.0,6.0,8.15,1.0,1.0,5.09,2.58,27.6,2.04,0.0,95.39,High
71,Female,Government,Average,0.45,88.78,63.13,8.37,4.0,4.0,0.93,4.0,1.0,1.12,5.44,13.81,4.75,1.0,80.98,High
1609,Female,Private,Quiet,2.04,86.37,61.85,5.78,15.0,10.0,5.25,,1.0,,3.33,22.82,5.1,0.0,90.43,High
1533,Male,Government,Noisy,2.41,87.37,55.88,8.4,13.0,4.0,1.73,4.0,1.0,0.41,5.0,26.9,4.05,0.0,77.71,High
248,Male,Government,Noisy,,79.13,92.68,6.65,4.0,3.0,7.02,0.0,0.0,7.65,4.14,19.35,4.41,1.0,81.52,High
1451,Female,Government,Average,7.44,90.05,82.42,6.71,16.0,7.0,6.41,0.0,,4.9,2.59,38.59,2.58,0.0,91.73,High
213,Female,Semi-Private,Quiet,4.39,,60.73,7.44,11.0,8.0,,5.0,1.0,7.41,2.9,24.09,4.28,1.0,94.46,High
910,Female,Government,Average,4.28,70.56,66.64,5.71,3.0,1.0,1.18,5.0,1.0,3.59,2.26,0.0,4.96,,76.43,High
1742,Female,Government,Quiet,3.59,89.02,59.89,8.3,18.0,,9.79,0.0,1.0,4.24,1.08,14.97,1.56,1.0,84.49,High
1245,Female,Government,Quiet,4.49,74.07,52.75,6.65,2.0,2.0,3.69,2.0,1.0,8.18,0.27,34.45,6.66,0.0,48.94,Low
1697,Male,Government,Average,1.6,61.47,64.74,6.83,6.0,10.0,8.76,3.0,0.0,3.95,4.12,9.86,1.92,0.0,86.64,High
1183,Male,Government,Average,0.58,75.41,70.66,7.95,2.0,4.0,8.85,0.0,0.0,5.68,4.8,29.64,3.8,1.0,62.02,Medium
362,Female,Semi-Private,Noisy,3.51,97.37,47.01,6.19,17.0,8.0,2.74,4.0,1.0,5.42,4.0,23.52,7.82,1.0,82.54,High
1474,Female,Government,Average,4.01,73.09,67.18,9.01,18.0,0.0,6.34,1.0,0.0,5.41,4.22,60.32,6.45,0.0,74.38,Medium
679,,Private,Average,5.67,72.32,80.02,6.47,14.0,8.0,5.14,4.0,1.0,9.4,3.86,40.97,2.08,1.0,80.19,High
1622,Female,Government,Average,3.99,64.84,45.06,8.78,1.0,4.0,9.0,3.0,0.0,7.01,6.33,45.64,1.73,0.0,52.14,Medium
1090,Male,Private,Noisy,2.69,89.85,46.86,6.1,8.0,,5.56,5.0,1.0,9.99,2.26,39.43,2.67,0.0,63.15,Medium
1988,Other,Government,Quiet,10.08,63.87,85.24,7.99,5.0,8.0,0.15,1.0,1.0,2.05,4.58,9.48,5.36,0.0,82.22,High
1848,Female,Private,Noisy,5.01,74.24,75.78,4.73,7.0,1.0,2.2,1.0,0.0,3.49,6.35,35.17,1.44,1.0,61.85,Medium
988,Female,Government,Average,5.97,75.87,75.32,7.08,18.0,6.0,2.47,2.0,0.0,2.03,2.78,22.45,6.14,1.0,90.37,High
1513,Male,Private,Average,1.89,89.23,61.96,7.0,14.0,6.0,1.61,,0.0,0.67,1.99,28.78,6.35,1.0,81.41,High
112,Female,Government,Noisy,4.66,100.0,73.33,8.16,11.0,3.0,8.68,4.0,1.0,3.01,4.09,38.9,3.67,0.0,94.22,High
1488,Male,Government,Average,3.18,99.11,,7.11,18.0,5.0,0.93,2.0,1.0,2.53,2.35,,1.0,0.0,72.8,Medium
1454,Female,Government,Average,7.31,99.0,22.75,7.14,11.0,9.0,0.89,1.0,0.0,3.62,1.03,18.66,5.69,0.0,80.24,High
384,Female,,Average,6.34,72.98,63.28,5.99,3.0,0.0,4.27,1.0,0.0,9.64,1.03,50.65,7.71,0.0,61.81,Medium
1396,Female,Government,Average,2.7,74.48,46.31,9.22,14.0,2.0,5.55,5.0,1.0,2.01,2.53,23.06,4.91,1.0,68.54,Medium
1055,Female,Semi-Private,Noisy,14.95,90.52,81.02,6.57,19.0,9.0,1.97,5.0,0.0,0.2,4.0,64.62,8.32,1.0,100.0,High
756,Female,Government,Quiet,4.77,63.32,51.42,7.47,20.0,6.0,4.43,4.0,0.0,0.36,2.43,0.0,5.23,1.0,85.58,High
325,Female,Private,Noisy,13.88,69.67,91.34,6.17,8.0,2.0,6.4,4.0,0.0,8.85,4.06,14.04,5.36,1.0,91.18,High
1624,Female,Semi-Private,Average,3.2,89.21,67.01,7.78,10.0,10.0,1.54,4.0,0.0,3.76,3.16,33.07,4.51,1.0,91.06,High
788,Male,Government,Average,0.91,80.23,67.17,5.62,,,3.83,1.0,1.0,2.88,4.69,17.0,6.27,0.0,77.42,High
369,Female,Private,Noisy,1.54,69.83,52.58,5.74,11.0,3.0,0.97,4.0,0.0,5.59,2.88,0.0,0.2,1.0,61.8,Medium
1820,Male,Semi-Private,Quiet,5.13,81.56,76.86,6.98,10.0,3.0,3.33,5.0,1.0,1.62,7.92,55.01,0.0,1.0,72.72,Medium
70,,Private,Average,5.48,79.36,67.34,8.96,5.0,5.0,,5.0,0.0,3.3,5.47,27.51,1.0,1.0,71.26,Medium
858,Male,Private,Quiet,13.02,100.0,52.54,,16.0,,9.31,4.0,1.0,9.87,6.65,27.0,2.85,1.0,78.87,High
1484,Male,Private,Quiet,11.2,74.56,70.37,6.68,13.0,9.0,5.77,5.0,0.0,4.03,3.41,18.59,1.7,1.0,100.0,High
1556,Male,Private,Quiet,8.21,83.9,61.13,7.11,5.0,0.0,9.1,3.0,0.0,1.96,6.26,26.37,3.45,1.0,75.87,High
1692,Male,Government,Quiet,3.1,91.57,70.56,6.1,10.0,4.0,3.9,2.0,1.0,9.39,3.73,71.02,8.77,1.0,68.49,Medium
1475,Female,Government,Average,4.48,82.89,71.46,6.99,4.0,3.0,5.44,3.0,1.0,1.8,2.99,24.49,5.39,1.0,69.25,Medium
1799,Female,Government,Average,2.49,77.31,85.28,5.43,17.0,5.0,4.37,2.0,0.0,7.32,4.77,52.25,2.9,0.0,65.24,Medium
479,Female,Private,Quiet,5.72,71.0,58.28,6.96,10.0,2.0,8.44,5.0,1.0,0.75,2.52,37.62,2.46,1.0,92.37,High
282,Male,Government,Quiet,1.39,82.45,86.32,7.13,16.0,7.0,2.0,1.0,0.0,4.83,1.86,40.42,,,75.68,High
1648,Male,Government,Average,3.24,86.59,58.61,7.8,12.0,6.0,1.02,3.0,0.0,9.93,4.55,3.1,,0.0,61.48,Medium
1557,Male,Government,Average,13.34,75.23,78.74,8.18,19.0,6.0,3.04,0.0,0.0,4.06,1.42,48.28,4.15,1.0,93.02,High
1730,Male,Private,Quiet,7.79,41.1,38.96,7.56,5.0,5.0,2.45,4.0,0.0,0.82,2.87,62.3,10.7,1.0,72.26,Medium
211,Female,Government,Average,2.2,82.37,85.04,5.7,16.0,8.0,6.53,5.0,0.0,8.27,2.17,37.73,3.11,1.0,89.55,High
298,Female,Government,Average,1.42,87.66,61.47,7.26,6.0,10.0,9.4,0.0,0.0,5.09,,39.6,4.31,1.0,59.48,Medium
1885,Female,Government,Quiet,6.27,88.34,51.53,7.48,15.0,5.0,2.73,3.0,1.0,7.18,4.62,38.53,3.13,1.0,77.31,High
1834,Female,Semi-Private,Noisy,3.85,87.79,62.6,7.57,13.0,10.0,5.29,4.0,,,3.86,44.11,3.07,0.0,92.46,High
652,Male,Semi-Private,Average,0.49,83.21,45.22,7.77,16.0,2.0,8.38,5.0,0.0,1.39,0.72,21.91,1.86,0.0,91.72,High
1234,Female,Semi-Private,Quiet,6.87,88.38,61.7,5.45,16.0,6.0,7.07,0.0,0.0,2.43,4.11,59.34,5.94,0.0,83.53,High
1503,Female,Government,Average,6.08,81.48,45.53,5.87,20.0,0.0,3.36,1.0,1.0,2.75,2.95,50.63,5.04,1.0,77.34,High
1932,Male,Government,Average,2.29,65.17,44.88,6.7,20.0,10.0,3.14,5.0,1.0,0.66,4.64,30.35,1.9,1.0,81.29,High
917,Female,Semi-Private,,0.52,98.62,97.33,4.55,9.0,4.0,1.64,0.0,0.0,8.39,5.89,6.47,5.49,1.0,67.43,Medium
994,Female,Government,Quiet,4.91,69.48,79.51,7.48,4.0,0.0,8.97,3.0,0.0,6.76,3.33,16.39,4.32,1.0,60.27,Medium
430,Female,Government,Quiet,3.11,,81.56,7.42,20.0,6.0,8.07,4.0,0.0,4.27,3.9,60.11,2.87,1.0,91.3,High
1371,Male,Government,Average,2.35,78.25,70.76,6.07,20.0,9.0,0.07,3.0,0.0,1.96,,40.85,4.68,1.0,84.58,High
240,Male,,Quiet,6.26,79.79,64.96,7.73,6.0,2.0,,3.0,1.0,7.94,3.62,51.74,4.89,1.0,59.5,Medium
880,Male,Semi-Private,Average,,80.86,100.0,4.94,11.0,4.0,0.26,0.0,0.0,9.36,0.52,10.7,4.3,0.0,72.26,Medium
621,Female,Private,Noisy,10.76,70.66,80.29,6.89,8.0,7.0,3.22,2.0,1.0,6.86,5.77,46.36,2.55,1.0,82.71,High
257,Female,Private,Quiet,2.64,73.43,86.49,5.89,14.0,9.0,9.39,4.0,0.0,8.14,3.43,30.58,2.05,0.0,89.14,High
612,Male,Semi-Private,Quiet,9.34,74.64,64.39,8.9,10.0,10.0,1.8,,1.0,0.6,4.33,49.26,2.41,0.0,84.98,High
545,Male,Government,Quiet,1.17,94.53,61.13,4.95,1.0,7.0,7.17,3.0,0.0,9.3,1.35,0.0,3.74,1.0,70.17,Medium
772,Male,Government,Average,3.1,88.51,83.76,7.9,9.0,5.0,6.22,0.0,1.0,1.47,4.93,55.55,0.09,1.0,81.69,High
1420,Female,Government,Average,18.0,83.93,68.12,6.03,5.0,2.0,1.69,4.0,1.0,4.49,0.0,37.19,4.04,0.0,79.95,High
1042,Female,,Quiet,4.93,81.41,82.42,4.08,15.0,6.0,1.75,5.0,1.0,9.6,5.5,32.7,7.35,0.0,71.8,Medium
1790,Female,Government,Quiet,7.04,86.1,88.89,5.82,3.0,0.0,0.57,0.0,0.0,1.86,4.7,9.64,6.57,1.0,67.29,Medium
760,Female,Government,,3.62,88.95,58.66,6.62,,1.0,0.67,5.0,0.0,0.14,3.54,35.18,7.32,1.0,77.43,High
383,Male,Private,Average,1.91,90.96,52.97,6.15,8.0,6.0,1.92,0.0,0.0,8.35,3.44,36.51,4.32,0.0,56.0,Medium
1104,Female,Government,Quiet,14.8,65.59,61.65,7.7,15.0,2.0,6.34,5.0,0.0,2.76,,0.0,1.87,1.0,96.74,High
974,Female,Government,Average,,87.14,64.88,5.74,14.0,6.0,1.15,2.0,0.0,0.1,3.54,20.7,3.72,0.0,71.38,Medium
353,Female,Semi-Private,Quiet,0.34,87.7,78.92,8.6,0.0,6.0,2.76,0.0,0.0,,3.11,41.42,3.86,0.0,58.4,Medium
1606,Male,Government,Average,,53.8,67.35,7.0,8.0,0.0,4.25,0.0,0.0,9.06,4.53,0.09,1.02,1.0,41.43,Low
1826,Female,Government,Quiet,13.35,78.7,,6.62,19.0,3.0,5.74,3.0,0.0,6.3,5.21,6.98,4.78,1.0,85.41,High
1037,Male,Private,Quiet,2.49,56.57,82.04,8.0,19.0,4.0,9.66,3.0,0.0,5.2,6.03,23.94,3.04,1.0,85.66,High
1108,Female,Semi-Private,Quiet,3.99,87.54,59.63,6.89,7.0,4.0,6.77,2.0,1.0,4.97,4.33,8.48,7.43,1.0,69.78,Medium
495,Other,Government,Average,5.34,94.47,71.15,8.71,1.0,1.0,8.17,4.0,1.0,8.94,5.34,2.71,0.0,1.0,67.86,Medium
394,Male,Semi-Private,Average,4.29,,71.07,8.31,0.0,,2.22,3.0,1.0,4.37,3.51,4.7,7.01,0.0,74.54,Medium
1547,Male,Private,Average,1.38,86.86,66.47,7.71,8.0,10.0,6.93,5.0,0.0,4.76,5.44,2.89,4.03,0.0,91.94,High
465,Female,Private,Quiet,3.63,85.88,69.77,6.55,16.0,3.0,9.35,3.0,0.0,1.04,2.13,23.14,8.27,1.0,100.0,High
887,Male,Government,Average,10.26,61.25,64.45,7.63,9.0,8.0,3.97,3.0,0.0,6.29,2.26,44.98,7.24,0.0,76.06,High
1194,Male,Private,Average,0.82,86.7,65.26,5.99,6.0,9.0,4.82,1.0,0.0,0.97,3.49,0.0,4.07,1.0,71.49,Medium
367,Female,Government,Noisy,1.91,82.79,85.52,6.26,19.0,5.0,9.53,0.0,0.0,0.2,4.85,30.87,1.33,1.0,91.9,High
1894,Female,,Average,3.41,67.55,42.88,7.63,6.0,7.0,9.47,3.0,0.0,4.01,,45.09,3.57,0.0,76.31,High
1874,Male,Private,Quiet,,83.63,60.18,7.4,14.0,6.0,7.93,3.0,0.0,3.18,2.74,34.42,3.9,1.0,86.92,High
745,Male,Private,Quiet,1.65,79.16,50.48,5.15,17.0,2.0,4.53,0.0,0.0,0.58,1.34,37.93,5.3,0.0,73.1,Medium
530,Male,Private,Average,4.57,66.92,65.51,6.46,14.0,6.0,6.32,1.0,1.0,5.72,4.43,21.79,4.85,0.0,72.3,Medium
803,Female,Government,Quiet,5.92,68.95,81.81,5.72,18.0,6.0,,5.0,1.0,0.17,1.21,25.73,3.45,1.0,94.87,High
1224,Male,Private,Average,1.94,99.74,66.48,7.74,10.0,0.0,9.92,2.0,1.0,7.5,7.8,30.98,5.01,0.0,70.22,Medium
1979,Male,Private,Quiet,1.57,79.74,65.2,5.14,16.0,4.0,,1.0,1.0,1.79,,5.88,0.0,1.0,80.27,High
1906,Male,Private,Quiet,6.1,68.06,57.0,7.2,10.0,10.0,2.65,0.0,1.0,7.51,2.76,60.57,6.19,1.0,73.0,Medium
1700,Female,Private,Average,4.13,65.97,51.74,9.57,,3.0,9.58,3.0,0.0,7.57,2.35,24.77,1.01,0.0,75.12,High
1545,Male,Private,Average,6.79,95.5,67.79,8.05,3.0,7.0,0.91,3.0,1.0,8.61,5.72,45.87,6.99,1.0,65.16,Medium
1314,Male,Private,Quiet,0.64,57.78,68.79,6.27,15.0,8.0,2.81,2.0,0.0,4.1,0.0,55.09,5.88,0.0,85.44,High
307,,Semi-Private,Average,6.85,,73.69,8.28,7.0,4.0,6.29,2.0,0.0,7.04,4.39,0.0,3.97,1.0,83.19,High
1667,Other,Semi-Private,Noisy,1.74,84.98,58.87,6.52,19.0,5.0,5.82,0.0,0.0,,4.79,0.0,7.53,0.0,81.21,High
863,Male,Government,Noisy,1.12,68.77,47.28,5.64,0.0,9.0,5.63,3.0,1.0,3.82,4.35,3.43,5.34,1.0,61.14,Medium
1567,Female,Semi-Private,Noisy,2.35,79.74,67.79,8.75,14.0,6.0,4.27,5.0,1.0,5.19,3.32,7.09,3.46,0.0,83.25,High
531,Male,Semi-Private,Quiet,4.47,89.73,67.89,8.11,19.0,8.0,8.74,1.0,0.0,5.58,,,5.79,1.0,82.72,High
655,Female,Private,,9.04,74.21,63.98,9.51,20.0,8.0,5.57,1.0,0.0,1.65,5.55,55.45,5.11,0.0,94.54,High
1260,Male,Government,Quiet,6.96,100.0,83.77,7.0,20.0,1.0,1.01,5.0,1.0,4.03,2.32,22.32,4.72,0.0,86.57,High
234,Other,Government,Average,0.94,92.41,58.27,7.14,0.0,5.0,2.18,4.0,1.0,2.53,3.87,28.79,1.21,0.0,70.37,Medium
121,Female,Private,Average,14.98,77.25,58.38,7.43,15.0,1.0,1.88,0.0,1.0,2.02,6.21,14.99,5.35,0.0,64.86,Medium
1698,Female,Private,,4.46,75.48,90.34,8.35,13.0,6.0,4.84,0.0,0.0,9.01,4.38,43.97,4.22,1.0,68.14,Medium
950,Male,Government,Quiet,5.84,73.45,44.26,6.34,19.0,6.0,1.88,3.0,1.0,5.05,3.31,13.24,1.55,1.0,69.16,Medium
618,,Government,Quiet,4.37,72.82,69.44,7.61,17.0,8.0,8.67,2.0,,2.86,0.0,22.15,4.01,1.0,83.88,High
1179,Other,Private,Quiet,1.01,77.27,57.6,4.0,4.0,5.0,4.04,3.0,0.0,8.01,1.01,31.67,5.55,0.0,60.23,Medium
308,Other,Private,Average,0.84,76.35,47.57,6.89,15.0,10.0,2.49,1.0,0.0,1.5,4.64,62.75,6.06,0.0,73.92,Medium
136,Other,Private,Quiet,4.27,85.65,,8.18,0.0,4.0,7.92,0.0,1.0,2.78,6.67,43.75,3.22,1.0,69.47,Medium
555,Female,Government,Average,2.15,78.46,65.87,6.88,19.0,7.0,1.92,4.0,0.0,3.03,1.78,3.78,3.3,1.0,92.8,High
1674,,Government,Average,1.07,,63.47,6.96,14.0,4.0,8.93,4.0,0.0,7.68,2.79,59.4,0.74,0.0,68.49,Medium
584,Male,Government,Average,2.02,74.01,68.96,6.59,1.0,10.0,,5.0,0.0,4.07,1.55,27.31,1.92,1.0,70.0,Medium
1641,Male,,Average,6.61,75.34,71.15,5.76,3.0,1.0,4.12,5.0,0.0,6.29,3.4,10.01,4.07,1.0,78.71,High
671,Male,Government,Average,3.5,91.51,56.22,5.47,8.0,10.0,,5.0,1.0,7.86,1.62,28.37,2.13,0.0,82.39,High
835,Female,Semi-Private,Average,2.29,71.56,63.66,9.25,18.0,9.0,0.35,2.0,0.0,2.81,0.0,3.72,0.0,1.0,76.53,High
110,Male,Government,Quiet,3.66,85.66,89.72,8.66,16.0,3.0,1.9,3.0,1.0,8.17,2.21,41.95,5.63,0.0,89.74,High
1165,Female,Semi-Private,Average,1.48,98.95,57.52,4.95,16.0,2.0,9.61,5.0,0.0,1.82,4.98,40.23,3.78,1.0,86.56,High
1960,Male,Semi-Private,Average,3.94,76.05,62.48,8.51,9.0,6.0,9.73,5.0,0.0,7.95,4.84,17.1,3.69,0.0,78.59,High
1465,Female,Government,Quiet,0.46,91.41,51.72,5.15,0.0,4.0,6.16,5.0,0.0,4.01,3.82,34.36,,0.0,64.54,Medium
1729,Male,Semi-Private,Average,2.78,85.86,,9.22,19.0,0.0,3.81,2.0,0.0,1.42,5.11,50.75,,1.0,81.03,High
1243,Female,Private,Noisy,2.55,74.57,46.09,,15.0,8.0,2.72,1.0,0.0,7.86,2.44,29.8,,0.0,68.74,Medium
212,Male,Semi-Private,Noisy,3.82,71.82,67.5,5.9,0.0,4.0,5.69,2.0,0.0,4.79,,12.5,1.04,1.0,63.44,Medium
1768,Male,Private,Average,6.11,84.46,54.52,,14.0,5.0,4.77,5.0,0.0,9.11,4.84,63.25,5.96,1.0,87.15,High
1121,Female,Private,Average,4.54,100.0,61.33,7.11,12.0,9.0,2.48,4.0,1.0,7.41,3.01,23.78,7.33,1.0,85.77,High
680,Female,Private,Noisy,2.76,88.62,90.5,6.41,2.0,1.0,4.75,5.0,0.0,8.46,2.51,30.6,7.15,0.0,66.88,Medium
1951,Male,Private,Noisy,6.82,73.0,51.97,5.59,17.0,6.0,8.78,5.0,,6.7,4.57,34.15,2.58,0.0,87.4,High
1839,Female,Government,Average,1.97,87.53,81.11,7.45,6.0,10.0,,3.0,0.0,2.08,3.71,20.47,2.06,0.0,93.42,High
412,,Private,Average,2.49,56.1,70.51,8.47,12.0,3.0,6.56,0.0,0.0,3.86,3.79,36.27,5.92,0.0,68.29,Medium
1325,Female,Semi-Private,Quiet,5.74,81.94,,5.87,6.0,5.0,0.42,3.0,0.0,7.16,4.31,27.58,4.86,0.0,62.29,Medium
783,Male,Private,Quiet,1.36,81.79,68.75,7.46,2.0,5.0,9.78,5.0,0.0,3.85,4.72,47.04,0.0,1.0,79.81,High
1346,Female,Government,Quiet,4.31,92.77,57.11,7.44,7.0,3.0,4.87,4.0,1.0,5.36,7.27,57.04,5.82,0.0,72.02,Medium
875,Male,Semi-Private,Noisy,15.39,100.0,55.46,8.79,7.0,10.0,7.01,0.0,0.0,8.74,3.24,29.26,4.65,1.0,89.9,High
1653,Female,Private,Average,4.0,77.44,66.21,7.03,19.0,6.0,3.31,4.0,0.0,5.94,4.63,26.69,4.14,0.0,74.26,Medium
1279,Female,Semi-Private,Average,7.76,98.21,57.04,6.55,4.0,5.0,0.97,4.0,0.0,6.25,3.34,40.88,4.21,1.0,67.61,Medium
786,Male,Government,Quiet,3.66,53.71,68.66,6.51,9.0,1.0,8.31,2.0,1.0,2.79,3.52,45.08,3.65,1.0,74.63,Medium
1819,Male,Private,Average,5.44,88.84,45.54,5.87,7.0,10.0,7.07,5.0,1.0,9.59,3.51,37.36,4.37,0.0,77.06,High
1199,Male,Semi-Private,Average,10.75,86.41,53.94,5.74,14.0,7.0,6.78,4.0,,6.25,1.05,25.39,9.94,1.0,84.87,High
808,Male,Private,Noisy,8.54,69.78,60.2,6.54,2.0,7.0,2.43,1.0,0.0,2.79,0.31,14.44,7.37,1.0,80.54,High
